screen_time_hours,sleep_hours,energy_level,hour_of_day,day_of_week,scroll_session_mins,heart_rate_resting,mood_valence,hour_sin,hour_cos,day_sin,day_cos,screen_sleep_interaction,weather_temp_c,stress_score,stress_label,archetype,user_id
7.03,8.94,5,21,3,97.38,68.5,0.6,-0.7071,0.7071,0.4339,-0.901,0.0,14.7,0.6256,moderate,student,student_05
2.98,8.2,9,7,0,28.42,57.5,0.5,0.9659,-0.2588,0.0,1.0,0.0,25.5,0.3162,moderate,athlete,athlete_12
13.41,8.52,4,20,5,17.26,71.9,0.5,-0.866,0.5,-0.9749,-0.2225,0.0,26.4,0.6192,high,student,student_00
1.27,5.4,3,21,5,17.77,76.2,-0.8,-0.7071,0.7071,-0.9749,-0.2225,0.0062,5.6,0.7642,high,chronic_stress,chronic_stress_12
6.43,9.04,6,21,5,51.74,76.2,-0.4,-0.7071,0.7071,-0.9749,-0.2225,0.0,6.9,0.4995,moderate,student,student_02
9.39,4.72,2,9,4,5.17,84.2,-0.7,0.7071,-0.7071,-0.4339,-0.901,0.0577,24.2,0.98,high,chronic_stress,chronic_stress_07
5.13,6.62,4,7,5,17.4,87.3,-0.6,0.9659,-0.2588,-0.9749,-0.2225,0.0133,18.4,0.4487,moderate,shift_worker,shift_worker_03
14.0,4.79,1,10,5,28.21,80.8,-0.7,0.5,-0.866,-0.9749,-0.2225,0.0842,16.9,0.98,high,chronic_stress,chronic_stress_15
1.2,7.54,5,20,5,4.24,76.1,0.6,-0.866,0.5,-0.9749,-0.2225,0.001,19.3,0.5507,moderate,professional,professional_14
5.53,7.66,4,7,3,69.58,77.2,-0.8,0.9659,-0.2588,0.4339,-0.901,0.0035,10.7,0.8837,high,shift_worker,shift_worker_09
5.85,6.24,2,20,4,10.93,75.4,-0.8,-0.866,0.5,-0.4339,-0.901,0.0193,9.0,0.6839,high,professional,professional_02
1.29,8.12,7,10,0,16.38,75.9,-0.7,0.5,-0.866,0.0,1.0,0.0,6.4,0.3017,moderate,student,student_06
14.0,5.12,1,23,4,33.46,70.2,0.6,-0.2588,0.9659,-0.4339,-0.901,0.0757,0.3,0.932,high,student,student_04
4.95,4.67,1,23,3,41.14,64.4,-0.8,-0.2588,0.9659,0.4339,-0.901,0.0309,6.3,0.944,high,student,student_19
4.32,9.05,4,14,4,14.49,85.8,-0.6,-0.5,-0.866,-0.4339,-0.901,0.0,20.3,0.75,high,shift_worker,shift_worker_07
4.53,6.4,3,21,4,4.5,72.2,0.6,-0.7071,0.7071,-0.4339,-0.901,0.0136,16.2,0.55,moderate,chronic_stress,chronic_stress_02
8.07,5.27,4,20,3,24.6,80.2,-0.7,-0.866,0.5,0.4339,-0.901,0.0413,21.5,0.7663,high,student,student_15
3.43,9.1,8,7,4,14.7,50.7,-0.7,0.9659,-0.2588,-0.4339,-0.901,0.0,16.8,0.3493,moderate,athlete,athlete_09
0.43,6.28,3,19,4,0.6,91.5,-0.7,-0.9659,0.2588,-0.4339,-0.901,0.0014,22.6,0.682,high,professional,professional_02
14.0,3.0,1,23,3,91.02,82.8,-0.6,-0.2588,0.9659,0.4339,-0.901,0.1313,5.1,0.98,high,student,student_10
2.04,7.21,5,19,4,7.53,66.5,0.7,-0.9659,0.2588,-0.4339,-0.901,0.003,8.4,0.2792,low,recovering,recovering_06
14.0,7.49,3,10,6,29.26,77.1,-0.7,0.5,-0.866,-0.7818,0.6235,0.0134,17.7,0.8641,high,student,student_11
4.03,4.7,2,21,6,21.1,85.3,-0.4,-0.7071,0.7071,-0.7818,0.6235,0.0249,2.8,0.7684,high,chronic_stress,chronic_stress_08
4.49,3.0,1,10,5,35.41,109.7,-0.7,0.5,-0.866,-0.9749,-0.2225,0.0421,18.8,0.9781,high,chronic_stress,chronic_stress_18
1.77,4.42,2,21,3,2.44,90.2,-0.6,-0.7071,0.7071,0.4339,-0.901,0.0119,18.9,0.8484,high,student,student_02
14.0,5.37,1,21,2,106.81,66.4,-0.8,-0.7071,0.7071,0.9749,-0.2225,0.0689,8.9,0.98,high,chronic_stress,chronic_stress_07
2.92,7.24,6,7,3,2.59,58.7,0.6,0.9659,-0.2588,0.4339,-0.901,0.0042,-0.9,0.5128,moderate,professional,professional_02
4.53,7.97,6,8,6,16.75,76.6,-0.7,0.866,-0.5,-0.7818,0.6235,0.0002,1.6,0.5477,moderate,professional,professional_16
3.51,7.36,7,19,0,4.45,57.8,0.7,-0.9659,0.2588,0.0,1.0,0.0042,9.4,0.1137,low,athlete,athlete_19
14.0,3.0,1,6,6,77.2,76.2,-0.6,1.0,0.0,-0.7818,0.6235,0.1313,12.7,0.98,high,shift_worker,shift_worker_07
1.7,6.65,5,19,2,1.13,74.9,0.7,-0.9659,0.2588,0.9749,-0.2225,0.0043,26.2,0.371,low,recovering,recovering_10
2.82,9.61,9,6,4,6.73,62.9,0.6,1.0,0.0,-0.4339,-0.901,0.0,6.1,0.159,low,athlete,athlete_17
6.97,5.94,4,21,4,31.62,68.1,-0.6,-0.7071,0.7071,-0.4339,-0.901,0.027,16.1,0.7687,high,recovering,recovering_03
13.68,6.09,4,8,0,77.52,69.4,-0.6,0.866,-0.5,0.0,1.0,0.0491,-0.2,0.98,high,recovering,recovering_17
